vehicle_make,vehicle_model,vehicle_year,vehicle_vin,vehicle_color,vehicle_price,vehicle_mileage,vehicle_condition,vehicle_transmission,vehicle_fuel_type,vehicle_body_style,vehicle_engine_size,vehicle_drivetrain,vehicle_features,Vehicle_ID,customer_id
Pontiac,Grand Prix,1972,5GAKRAED0BJ101747,Purple,54050.73,126804,certified pre-owned,automatic,diesel,SUV,3.8,rear-wheel drive,navigation system, VEH-9889  , CUS-8232  
Volkswagen,Eurovan,2001,WBABS33473J770369,Fuscia,16367.84,157384,new,automatic,gasoline,sedan,3.9,rear-wheel drive,heated seats, VEH-5705  , CUS-1476  
Lexus,LS,2012,WA1MYAFEXAD915316,Red,92684.11,100584,certified pre-owned,automatic,electric,SUV,3.6,front-wheel drive,leather seats, VEH-0133  , CUS-1933  
Chevrolet,Tracker,2001,1FTEX1CM2DF091195,Purple,83908.6,50380,used,manual,diesel,SUV,5.5,rear-wheel drive,leather seats, VEH-0864  , CUS-3732  
Cadillac,Seville,2002,WAUAC48H35K066662,Mauv,60538.66,160192,new,automatic,gasoline,sedan,4.4,rear-wheel drive,navigation system, VEH-9974  , CUS-7541  
Mercury,Grand Marquis,2003,1G6KF54915U534060,Puce,74635.06,85692,used,automatic,gasoline,truck,2.3,rear-wheel drive,leather seats, VEH-0219  , CUS-5612  
Saturn,Outlook,2008,WBA3A5C50DJ625607,Pink,87545.03,188598,new,manual,diesel,sedan,5.1,all-wheel drive,sunroof, VEH-9109  , CUS-0615  
Dodge,Dakota,2010,JN1AZ4EH0BM937946,Blue,9367.79,178902,used,manual,diesel,coupe,2.2,rear-wheel drive,leather seats, VEH-5337  , CUS-1929  
Mitsubishi,Mirage,1993,5UXFB53544L484265,Red,81132.41,30709,used,automatic,diesel,sedan,2.4,front-wheel drive,sunroof, VEH-2629  , CUS-3780  
Honda,Odyssey,2007,ML32A3HJ1EH576566,Maroon,38872.53,89053,new,manual,gasoline,truck,3.4,all-wheel drive,sunroof, VEH-7508  , CUS-3424  
Dodge,Stealth,1996,1N6BF0KX0FN042646,Mauv,94382.32,178942,certified pre-owned,automatic,gasoline,sedan,4.9,front-wheel drive,heated seats, VEH-1637  , CUS-2169  
Lexus,LX,2006,JM1CR2W39A0310634,Crimson,57221.54,16095,new,manual,diesel,SUV,3.4,front-wheel drive,sunroof, VEH-9469  , CUS-3232  
Volvo,S60,2004,3G5DA03E32S432025,Mauv,14155.77,99667,used,automatic,gasoline,truck,2,rear-wheel drive,leather seats, VEH-7259  , CUS-1961  
Ford,Taurus,2006,WBA3N5C59EK435773,Teal,69494.87,101657,used,automatic,electric,SUV,1.6,all-wheel drive,leather seats, VEH-6763  , CUS-2600  
Audi,A6,2007,WAUMR94E28N209446,Indigo,11408.79,119900,certified pre-owned,automatic,diesel,sedan,3.7,rear-wheel drive,heated seats, VEH-5133  , CUS-2761  
Dodge,Avenger,2010,3VW217AU6FM253049,Teal,42951.66,17050,certified pre-owned,automatic,diesel,truck,5.5,rear-wheel drive,sunroof, VEH-1280  , CUS-8553  
Pontiac,Sunfire,2001,1N6AA0CJ0EN523712,Orange,52199.17,120907,new,manual,gasoline,SUV,5.7,rear-wheel drive,sunroof, VEH-9494  , CUS-0821  
Mazda,929,1993,WA1YD54B24N890424,Fuscia,27779.83,88269,used,manual,gasoline,coupe,3.2,all-wheel drive,sunroof, VEH-5308  , CUS-5136  
Mazda,Mazda6 5-Door,2006,WUADUAFG0F7708610,Puce,83194.78,190527,certified pre-owned,automatic,gasoline,sedan,3.8,all-wheel drive,leather seats, VEH-3788  , CUS-3987  
Mazda,626,1994,1G6AV5S82E0778719,Teal,22256.83,141111,certified pre-owned,automatic,gasoline,SUV,5.2,all-wheel drive,navigation system, VEH-5156  , CUS-3119  
Volvo,V70,1999,WVWGD7AJ9EW922015,Maroon,8045.45,178667,new,automatic,diesel,coupe,1.8,rear-wheel drive,leather seats, VEH-3933  , CUS-3668  
Nissan,370Z,2009,JM1GJ1T67F1228968,Orange,45366.09,30905,used,manual,diesel,SUV,4.5,all-wheel drive,navigation system, VEH-8481  , CUS-1471  
GMC,Rally Wagon G2500,1995,JN1CV6FE9CM446409,Puce,44530.56,34105,certified pre-owned,manual,diesel,SUV,5.2,all-wheel drive,sunroof, VEH-3279  , CUS-0702  
Mercedes-Benz,C-Class,1993,YV1672MK1C2281595,Purple,15197.64,10667,new,manual,diesel,sedan,2.8,front-wheel drive,navigation system, VEH-9775  , CUS-1894  
Honda,Odyssey,2011,5GAEV13778J853668,Purple,32456.8,130268,used,manual,gasoline,sedan,4.9,rear-wheel drive,sunroof, VEH-3956  , CUS-0288  
Mazda,Protege5,2003,WAUNG94F29N192958,Fuscia,10822.43,47667,certified pre-owned,automatic,diesel,coupe,1.8,front-wheel drive,leather seats, VEH-6948  , CUS-8989  
Mazda,Miata MX-5,2006,3C3CFFFH6DT023968,Crimson,15448.55,159909,certified pre-owned,manual,gasoline,sedan,4.4,front-wheel drive,navigation system, VEH-2938  , CUS-5321  
Honda,Odyssey,2008,KNAFU6A24A5430813,Blue,48455.94,191536,new,manual,diesel,truck,2.5,all-wheel drive,sunroof, VEH-9427  , CUS-8760  
Ford,Mustang,1995,3C4PDCDG9CT634118,Violet,63450.14,175680,used,automatic,diesel,SUV,1.2,front-wheel drive,heated seats, VEH-7349  , CUS-9968  
Cadillac,DeVille,2002,1N4AA5AP3EC721015,Crimson,72688.02,140784,used,manual,diesel,SUV,4.2,front-wheel drive,sunroof, VEH-3902  , CUS-4741  
Mercury,Tracer,1995,5TDBW5G17FS732621,Purple,60693.75,175051,certified pre-owned,automatic,gasoline,truck,5,rear-wheel drive,navigation system, VEH-1402  , CUS-1910  
Ford,E350,2012,1G4GD5EGXAF200397,Turquoise,9360.95,132830,new,manual,gasoline,SUV,2,front-wheel drive,navigation system, VEH-7027  , CUS-8873  
Suzuki,Grand Vitara,2010,JN1BJ0HR7DM120677,Aquamarine,35258.91,155661,used,automatic,gasoline,truck,2.7,rear-wheel drive,navigation system, VEH-3515  , CUS-2081  
Ford,Ranger,2009,1G6AG5RX1E0013380,Maroon,73444.99,81985,new,automatic,diesel,truck,4.4,all-wheel drive,leather seats, VEH-4821  , CUS-3177  
GMC,Savana 3500,1998,1G6AH5SX1E0280610,Indigo,52577.21,65481,used,automatic,electric,coupe,4.8,all-wheel drive,navigation system, VEH-6572  , CUS-0582  
Land Rover,Defender 90,1995,KMHGH4JH2DU184662,Yellow,12308.41,137683,used,automatic,diesel,SUV,3.5,front-wheel drive,navigation system, VEH-9932  , CUS-1147  
Chevrolet,Express 2500,2010,WA1VMAFE9ED775216,Crimson,95171.73,198608,certified pre-owned,manual,gasoline,truck,1.8,front-wheel drive,navigation system, VEH-0882  , CUS-8691  
Toyota,TundraMax,2007,WBAPH5G55AN382565,Teal,59716.04,44556,new,manual,electric,coupe,3.2,all-wheel drive,heated seats, VEH-5198  , CUS-5919  
Kia,Sportage,2007,1GKS2FFJ0BR524175,Teal,74765.1,9689,new,automatic,electric,SUV,3.7,rear-wheel drive,leather seats, VEH-4968  , CUS-8383  
Mazda,Protege,1993,WAUCFAFC6FN260026,Violet,8674.09,27821,certified pre-owned,automatic,diesel,coupe,5.5,front-wheel drive,sunroof, VEH-8867  , CUS-9319  
Cadillac,Seville,2003,3D73M4CL9BG728838,Red,40327.02,7390,new,automatic,diesel,truck,5,front-wheel drive,leather seats, VEH-2783  , CUS-8526  
Lexus,LX,1999,WBAYF8C51ED737227,Fuscia,36126.64,116987,used,manual,diesel,sedan,5.6,rear-wheel drive,heated seats, VEH-3553  , CUS-8965  
Mazda,MX-5,2000,WVGEP9BP7FD438575,Pink,61280.41,31941,used,automatic,gasoline,coupe,2.4,rear-wheel drive,navigation system, VEH-3818  , CUS-8327  
Ford,F150,1997,WAUKD78P97A120999,Indigo,68941.97,95963,certified pre-owned,manual,gasoline,truck,5.6,rear-wheel drive,navigation system, VEH-5470  , CUS-8017  
Acura,RDX,2009,1G4HP54KX1U808661,Aquamarine,58681.27,130980,new,manual,gasoline,sedan,3.3,rear-wheel drive,heated seats, VEH-0026  , CUS-4211  
Mercedes-Benz,M-Class,2012,1N6AF0LX3EN752407,Fuscia,49687.76,198966,new,automatic,gasoline,sedan,3.2,rear-wheel drive,leather seats, VEH-2918  , CUS-0907  
Toyota,Celica,1999,WBA3V7C55EJ158993,Turquoise,92974.57,8407,used,manual,gasoline,SUV,4.5,rear-wheel drive,sunroof, VEH-1289  , CUS-9993  
BMW,760,2005,5NPDH4AE8DH715547,Khaki,57766.57,6171,new,manual,diesel,coupe,3.4,all-wheel drive,heated seats, VEH-9425  , CUS-6326  
Kia,Spectra5,2006,1G4GA5GR8DF379955,Goldenrod,22420.26,155180,certified pre-owned,automatic,diesel,truck,2,all-wheel drive,sunroof, VEH-5022  , CUS-1880  
Saab,900,1989,WUAPV54B43N997832,Khaki,66836.29,117841,used,manual,gasoline,coupe,2.8,all-wheel drive,navigation system, VEH-2150  , CUS-2119  
GMC,Savana 2500,2011,5FRYD4H94GB455011,Purple,28250.94,24998,new,manual,diesel,truck,3.9,all-wheel drive,leather seats, VEH-2295  , CUS-8467  
Nissan,Rogue,2012,5NPE24AF3FH009054,Crimson,64280.4,65869,certified pre-owned,manual,electric,coupe,1.3,rear-wheel drive,heated seats, VEH-8654  , CUS-1959  
Hyundai,Scoupe,1994,WBAUP73538V567862,Aquamarine,46281.66,118243,new,manual,electric,sedan,1.5,all-wheel drive,heated seats, VEH-5944  , CUS-0276  
Mercury,Sable,2004,19UUA9E56CA262127,Indigo,18944.92,43279,used,manual,diesel,coupe,3,front-wheel drive,navigation system, VEH-6239  , CUS-6268  
GMC,Sierra 2500,2010,19VDE1F38DE368300,Crimson,22094.45,171433,certified pre-owned,automatic,gasoline,truck,2.9,front-wheel drive,leather seats, VEH-3759  , CUS-0669  
Toyota,Supra,1994,1G6KD57929U757067,Maroon,81962.99,81386,used,automatic,gasoline,SUV,3.8,rear-wheel drive,sunroof, VEH-0790  , CUS-3269  
Nissan,300ZX,1994,WBA1M1C57FV140724,Crimson,55338.56,108934,certified pre-owned,automatic,electric,truck,2.2,rear-wheel drive,leather seats, VEH-6840  , CUS-2941  
BMW,750,2006,WAUMR94E98N763048,Teal,40094.41,190691,used,automatic,gasoline,coupe,2.1,front-wheel drive,sunroof, VEH-4847  , CUS-5971  
Lamborghini,Murciélago,2002,1GYEC63N16R884262,Pink,49322.1,46689,certified pre-owned,automatic,electric,SUV,3.7,rear-wheel drive,leather seats, VEH-7863  , CUS-1055  
Jaguar,XK Series,1998,WAUEH94F88N318705,Khaki,39716.8,131712,used,manual,gasoline,SUV,1.4,all-wheel drive,leather seats, VEH-5559  , CUS-4044  
Honda,CR-X,1988,WP0AB2A84FK000451,Blue,52858.16,197325,new,automatic,diesel,SUV,1.4,front-wheel drive,navigation system, VEH-3349  , CUS-6660  
Porsche,944,1986,KNALN4D7XE5548110,Green,78775.67,2364,certified pre-owned,automatic,diesel,SUV,4,rear-wheel drive,leather seats, VEH-5511  , CUS-0107  
Mercedes-Benz,CL-Class,2010,WBADT33452G072800,Blue,86307.3,120881,new,automatic,electric,truck,1.2,rear-wheel drive,leather seats, VEH-0460  , CUS-2656  
Chevrolet,Caprice,1991,1GD02ZCG4CZ391995,Purple,90183.86,561,used,automatic,gasoline,truck,2.2,rear-wheel drive,sunroof, VEH-3182  , CUS-0738  
Toyota,Tundra,2009,1G4HR54K73U609144,Maroon,78390.01,20448,used,automatic,electric,sedan,5.1,rear-wheel drive,leather seats, VEH-0615  , CUS-3278  
Ford,Expedition,2005,KL4CJCSB0FB575670,Khaki,99583.3,151679,new,manual,gasoline,SUV,4.7,front-wheel drive,navigation system, VEH-1935  , CUS-1162  
Maserati,Spyder,1990,WA1YD54BX3N075564,Turquoise,63579.31,128228,used,automatic,diesel,truck,3.8,all-wheel drive,heated seats, VEH-0268  , CUS-4749  
Dodge,Sprinter,2006,1FTEW1E88AF287799,Turquoise,69793.88,79850,used,automatic,diesel,truck,2.7,rear-wheel drive,navigation system, VEH-8058  , CUS-4724  
Geo,Metro,1997,SCFBF04B57G771978,Violet,84438.24,39832,certified pre-owned,manual,electric,SUV,4.7,all-wheel drive,leather seats, VEH-1076  , CUS-1414  
Toyota,Corolla,2000,KNADH4A33B6392415,Yellow,16845.56,57644,used,automatic,diesel,truck,4.3,front-wheel drive,leather seats, VEH-7545  , CUS-8228  
GMC,1500 Club Coupe,1995,1C3CCBAB4DN613431,Green,78557.05,190022,certified pre-owned,manual,diesel,coupe,2.6,rear-wheel drive,navigation system, VEH-5401  , CUS-1709  
Lincoln,Continental,1998,2C4RVAAG6CR721735,Mauv,58692.1,75938,certified pre-owned,automatic,diesel,coupe,3.5,front-wheel drive,sunroof, VEH-7782  , CUS-7995  
Hummer,H2 SUV,2006,1G4GH5E37DF957876,Puce,12565.74,97176,used,automatic,electric,SUV,1.2,all-wheel drive,navigation system, VEH-4934  , CUS-7808  
Ford,F-Series,2006,4T1BD1EB6DU807632,Blue,83069.5,71768,used,automatic,diesel,sedan,1.3,all-wheel drive,navigation system, VEH-0018  , CUS-7741  
Mitsubishi,Diamante,1992,1FTEW1CM5EK879027,Teal,83548.76,119652,used,manual,electric,coupe,1.2,all-wheel drive,leather seats, VEH-3428  , CUS-5467  
Chevrolet,Blazer,1996,2G4GS5ER7D9680306,Goldenrod,35123.54,77096,certified pre-owned,automatic,electric,truck,5.3,all-wheel drive,navigation system, VEH-8479  , CUS-3393  
Jeep,Cherokee,1993,5UXFG83588L630398,Green,43446.48,139655,new,automatic,diesel,SUV,1.9,front-wheel drive,navigation system, VEH-5221  , CUS-5791  
Land Rover,Freelander,2011,JH4KB16608C754206,Violet,60601.77,89451,certified pre-owned,manual,gasoline,SUV,2.1,front-wheel drive,leather seats, VEH-7019  , CUS-0004  
Ford,Ranger,2011,WAUVT68E92A819857,Aquamarine,31913.73,85515,certified pre-owned,automatic,electric,truck,4.3,all-wheel drive,heated seats, VEH-9566  , CUS-7367  
Scion,tC,2010,2T1BU4EE7CC394163,Indigo,61637.25,141458,certified pre-owned,automatic,gasoline,truck,4.8,rear-wheel drive,heated seats, VEH-7199  , CUS-3953  
Volkswagen,GTI,1985,1FMHK7B87BG330326,Puce,99241.43,12070,new,manual,gasoline,sedan,2.3,rear-wheel drive,leather seats, VEH-5363  , CUS-1519  
Dodge,Dakota Club,1992,1G6DX67D160082423,Teal,58201.67,148525,used,automatic,gasoline,SUV,4.7,front-wheel drive,navigation system, VEH-4304  , CUS-6866  
Chevrolet,Suburban 2500,2004,WBA3B9C50DF946165,Teal,40735.5,27628,certified pre-owned,manual,diesel,truck,4.2,all-wheel drive,leather seats, VEH-6558  , CUS-9727  
Dodge,Ram,2011,JHMGE8G21AS715430,Teal,42413.79,102304,certified pre-owned,manual,electric,truck,3.1,rear-wheel drive,sunroof, VEH-5501  , CUS-1898  
Maybach,Landaulet,2010,W04G05GV9B1120447,Mauv,71033.02,52085,certified pre-owned,automatic,gasoline,coupe,3.5,front-wheel drive,heated seats, VEH-6751  , CUS-6813  
Cadillac,Eldorado,1993,WBAUC73589V985864,Puce,85505.5,180050,used,automatic,gasoline,coupe,5.3,all-wheel drive,heated seats, VEH-0630  , CUS-3042  
Kia,Amanti,2005,JN1AZ4EH3FM327299,Goldenrod,76992,51503,used,automatic,diesel,SUV,4.7,all-wheel drive,heated seats, VEH-2457  , CUS-3711  
Lexus,RX,2002,WBALM5C53BE790757,Teal,66965.92,61684,certified pre-owned,manual,gasoline,coupe,1.5,rear-wheel drive,leather seats, VEH-4593  , CUS-6327  
BMW,M3,2003,WBAUT93519A209871,Pink,59725.04,76239,used,manual,electric,truck,4.7,rear-wheel drive,sunroof, VEH-6342  , CUS-1717  
Mercedes-Benz,GL-Class,2012,1FTEW1C82FK246991,Fuscia,45404.32,73188,new,automatic,electric,SUV,5.8,rear-wheel drive,leather seats, VEH-2605  , CUS-7661  
Mazda,B-Series Plus,1995,1J4NF1FB1AD336456,Mauv,68315.81,118054,used,automatic,gasoline,SUV,2.2,front-wheel drive,sunroof, VEH-1267  , CUS-0907  
Suzuki,XL-7,2007,3C4PDDDG8FT893399,Green,29008.52,47989,certified pre-owned,automatic,electric,sedan,3.4,front-wheel drive,sunroof, VEH-3828  , CUS-2428  
Infiniti,FX,2004,1FTEW1CMXBF177497,Teal,29141.61,107723,certified pre-owned,automatic,electric,coupe,3.2,front-wheel drive,sunroof, VEH-8304  , CUS-8224  
Ford,Focus,2008,WBA6A0C59ED673607,Violet,45516.71,169472,certified pre-owned,manual,gasoline,sedan,4.9,rear-wheel drive,sunroof, VEH-9404  , CUS-8502  
GMC,Envoy,2009,1GTN1TEH6EZ390267,Yellow,26104.3,16438,new,manual,electric,sedan,5.1,rear-wheel drive,heated seats, VEH-8809  , CUS-8014  
Volkswagen,Golf,1992,1G6DE5EYXB0701116,Puce,5756.15,193714,new,automatic,electric,coupe,1.1,front-wheel drive,heated seats, VEH-7908  , CUS-8908  
Mazda,929,1991,1G6DD1E3XE0060070,Purple,79504.88,171597,certified pre-owned,automatic,gasoline,sedan,4.4,front-wheel drive,navigation system, VEH-5201  , CUS-3803  
Nissan,Quest,2005,2C3CDZAT8FH180867,Blue,85629.27,176795,certified pre-owned,manual,electric,SUV,4.2,front-wheel drive,navigation system, VEH-3432  , CUS-6392  
Ford,Bronco,1994,WBA4A5C5XFD713800,Mauv,29964.75,7379,certified pre-owned,manual,electric,sedan,1.2,rear-wheel drive,navigation system, VEH-0826  , CUS-4485  
Volkswagen,Golf,2012,1G6DL8EGXA0029023,Green,18704.4,179509,used,manual,electric,sedan,2.2,front-wheel drive,heated seats, VEH-2802  , CUS-2819  
Porsche,944,1985,TRUSC28N111630090,Red,60550.22,117546,used,manual,gasoline,SUV,5.6,rear-wheel drive,heated seats, VEH-7888  , CUS-0276  
Nissan,Murano,2006,1D7RW5GK4BS796758,Aquamarine,39196.82,129405,used,manual,diesel,coupe,4.4,rear-wheel drive,heated seats, VEH-9437  , CUS-3063  
Mitsubishi,Challenger,1998,1GYUCJEF2AR663766,Maroon,61559.98,94953,used,automatic,gasoline,coupe,2.5,front-wheel drive,heated seats, VEH-1307  , CUS-7534  
Chevrolet,Monte Carlo,2006,1GYFK63878R309376,Mauv,65898.05,66068,certified pre-owned,automatic,diesel,truck,1.7,all-wheel drive,leather seats, VEH-9078  , CUS-5007  
Pontiac,Fiero,1986,4T1BF1FK5FU275270,Yellow,96316.52,148918,used,automatic,gasoline,truck,3.8,all-wheel drive,heated seats, VEH-2791  , CUS-1947  
Volvo,V40,2004,W04GX5GV8B1336706,Maroon,30058.08,109628,new,manual,diesel,coupe,1.1,all-wheel drive,heated seats, VEH-8942  , CUS-9048  
Ford,Thunderbird,1990,WA1YD54B83N768813,Teal,63640.24,126097,certified pre-owned,automatic,electric,sedan,1.4,front-wheel drive,heated seats, VEH-4476  , CUS-8800  
Mercedes-Benz,E-Class,2010,1FTWF3B55AE024136,Red,87792.74,35860,used,manual,gasoline,SUV,3.5,rear-wheel drive,leather seats, VEH-6686  , CUS-2502  
Lotus,Esprit,1985,WAUEF78E67A078930,Mauv,84875.63,98191,used,manual,electric,sedan,4.3,all-wheel drive,navigation system, VEH-4327  , CUS-1086  
Audi,80,1991,WAUVC58E32A473167,Turquoise,37497.38,23867,certified pre-owned,manual,diesel,SUV,2.5,front-wheel drive,navigation system, VEH-5356  , CUS-6001  
Chevrolet,Express,2009,WAUDL74F95N579383,Aquamarine,20985.2,79512,used,automatic,diesel,coupe,5.3,rear-wheel drive,leather seats, VEH-5807  , CUS-2837  
Ford,Mustang,1988,3GYFNEEY8AS809113,Green,63398.06,17988,used,automatic,gasoline,coupe,1.5,front-wheel drive,heated seats, VEH-9727  , CUS-7102  
Toyota,Sienna,2006,WBA3B9G50FN240090,Blue,60005.66,52292,certified pre-owned,manual,diesel,truck,5.2,rear-wheel drive,leather seats, VEH-5550  , CUS-3251  
Honda,S2000,2002,WVWED7AJ0DW673609,Blue,38120.89,163547,used,automatic,gasoline,sedan,4.7,all-wheel drive,heated seats, VEH-9015  , CUS-6259  
Audi,S8,2007,2G61P5S3XD9636234,Khaki,27700.78,134248,used,automatic,diesel,sedan,1.9,rear-wheel drive,heated seats, VEH-5395  , CUS-9495  
Volkswagen,R32,2008,WUAAU34298N614519,Red,39664.41,82480,certified pre-owned,manual,gasoline,coupe,4.3,all-wheel drive,heated seats, VEH-0718  , CUS-2094  
Land Rover,Range Rover,1987,WAUJC68E64A899085,Teal,79561.59,80663,certified pre-owned,automatic,diesel,SUV,5.7,front-wheel drive,leather seats, VEH-8363  , CUS-1879  
Ford,F350,2012,WVGBF7A93AD004417,Blue,63576.02,163888,used,automatic,electric,sedan,2.8,front-wheel drive,leather seats, VEH-7693  , CUS-8366  
Suzuki,Swift,1990,JTDBT4K32C1068927,Orange,68112.7,7719,new,manual,gasoline,SUV,2.6,rear-wheel drive,navigation system, VEH-3832  , CUS-0233  
BMW,M5,1993,1C3CDZAB3EN661879,Goldenrod,47258.2,194382,used,automatic,gasoline,truck,5.5,all-wheel drive,leather seats, VEH-3721  , CUS-2758  
Lamborghini,Diablo,2001,5UXXW5C57F0677023,Mauv,84966.49,61765,certified pre-owned,manual,diesel,SUV,3.5,front-wheel drive,navigation system, VEH-6426  , CUS-6468  
Jaguar,XF,2009,KMHDB8AE9AU647510,Turquoise,65217.14,66888,new,automatic,electric,sedan,2.4,rear-wheel drive,navigation system, VEH-9943  , CUS-0379  
Volkswagen,Passat,2000,JM1NC2PF6F0438890,Puce,21783.15,176737,new,manual,electric,coupe,4.1,front-wheel drive,navigation system, VEH-6068  , CUS-5109  
Nissan,200SX,1997,1FMEU8FE1AU057080,Red,76732.54,158100,new,automatic,electric,sedan,2.9,front-wheel drive,sunroof, VEH-0901  , CUS-5267  
Toyota,Highlander,2009,1G6DV1EPXE0318829,Yellow,61295.25,40150,new,manual,diesel,sedan,4.4,rear-wheel drive,leather seats, VEH-0199  , CUS-7182  
Ford,Taurus,2012,1D4PT4GK8AW524616,Purple,85819.77,71531,used,automatic,electric,coupe,5.3,front-wheel drive,heated seats, VEH-0338  , CUS-0893  
Toyota,Prius,2001,1FBNE3BL4ED170444,Goldenrod,96705.09,58175,certified pre-owned,manual,gasoline,coupe,2,all-wheel drive,heated seats, VEH-0607  , CUS-8920  
BMW,Z3,1996,5TFCW5F18BX781918,Turquoise,84420.06,101158,used,manual,gasoline,sedan,2.1,all-wheel drive,sunroof, VEH-7390  , CUS-6885  
Saab,5-Sep,2004,3MZBM1K79FM021249,Turquoise,63744.82,143362,used,manual,diesel,sedan,2.9,rear-wheel drive,leather seats, VEH-3778  , CUS-5497  
BMW,M6,2009,WA1VKBFP1AA070595,Aquamarine,14466.16,65759,new,automatic,gasoline,sedan,5.2,front-wheel drive,heated seats, VEH-0675  , CUS-2842  
GMC,Sonoma Club Coupe,1994,5UXFE83528L857849,Mauv,94273.19,55388,certified pre-owned,manual,gasoline,sedan,3.4,rear-wheel drive,navigation system, VEH-1091  , CUS-6060  
Mazda,B-Series Plus,2002,3GYFK62858G841081,Teal,16428.33,173767,certified pre-owned,automatic,electric,truck,3.7,rear-wheel drive,heated seats, VEH-6990  , CUS-6865  
Dodge,Stratus,2006,3VW1K7AJ6DM113918,Puce,49080.09,18442,certified pre-owned,automatic,electric,SUV,5.5,front-wheel drive,heated seats, VEH-8892  , CUS-6237  
Ford,Bronco,1991,JM3KE2BE4F0070616,Crimson,62076.45,84488,new,automatic,electric,SUV,4.1,front-wheel drive,heated seats, VEH-5696  , CUS-2455  
Ford,F150,1993,1G6DL67A280097579,Goldenrod,29654.78,155336,certified pre-owned,manual,electric,coupe,3.4,all-wheel drive,heated seats, VEH-6353  , CUS-8201  
Oldsmobile,Cutlass Supreme,1993,2G4GT5GK2C9868680,Red,45227.54,93221,used,automatic,gasoline,coupe,1.1,all-wheel drive,navigation system, VEH-3737  , CUS-7830  
Volkswagen,Jetta III,1994,JH4KA96681C791009,Blue,45683.65,55108,new,manual,diesel,truck,2.9,front-wheel drive,leather seats, VEH-4404  , CUS-4181  
Jaguar,XJ Series,2002,WDDHF8JB0DA140815,Purple,76893.47,193443,new,manual,gasoline,SUV,2.3,front-wheel drive,leather seats, VEH-8999  , CUS-8298  
Pontiac,Sunbird,1984,1B3CB5HA4BD396206,Purple,82305.61,42687,used,manual,gasoline,coupe,5.5,rear-wheel drive,heated seats, VEH-6308  , CUS-9668  
Ford,E150,2010,WAUCVAFR9AA101895,Orange,36536.61,171345,new,automatic,electric,SUV,1.8,all-wheel drive,navigation system, VEH-9458  , CUS-6458  
Dodge,Durango,2011,5UXZV4C58BL379644,Orange,58109.08,71640,used,automatic,gasoline,sedan,4.7,rear-wheel drive,heated seats, VEH-6763  , CUS-8131  
Chevrolet,Silverado 2500,2008,WBAPM7C56AA097619,Turquoise,17191.15,154502,used,manual,electric,truck,5.3,rear-wheel drive,navigation system, VEH-1488  , CUS-2227  
Mitsubishi,Montero,1994,WAUMR94EX8N259446,Maroon,77587.8,33425,used,automatic,diesel,sedan,5.3,all-wheel drive,navigation system, VEH-7355  , CUS-0590  
Volkswagen,Cabriolet,1985,1GKUCHE05AR722789,Orange,41740.63,161456,certified pre-owned,manual,electric,sedan,5.2,front-wheel drive,sunroof, VEH-8985  , CUS-2877  
Mazda,Mazda6,2006,SCBFU7ZA1DC767298,Turquoise,19712.38,16539,new,automatic,gasoline,SUV,1.9,rear-wheel drive,heated seats, VEH-9614  , CUS-4430  
Cadillac,Catera,2000,WA1BY74L39D942851,Khaki,38543.55,23632,used,manual,diesel,truck,4.7,rear-wheel drive,sunroof, VEH-0578  , CUS-1051  
Pontiac,Bonneville,1985,WDDGF5EB3BA341383,Puce,32226.4,1870,new,manual,gasoline,coupe,3.4,front-wheel drive,navigation system, VEH-5232  , CUS-7446  
Chevrolet,Corvette,2012,SAJWA0JH6EM604116,Violet,90875.79,141708,certified pre-owned,automatic,gasoline,truck,5.8,all-wheel drive,leather seats, VEH-6955  , CUS-9297  
Infiniti,QX56,2011,5GADX23L26D540239,Aquamarine,19614.28,14525,certified pre-owned,manual,electric,truck,5.2,rear-wheel drive,navigation system, VEH-4158  , CUS-9362  
Subaru,Outback,2010,WA1EV74L58D260543,Teal,96370.69,1270,new,automatic,electric,truck,3.9,front-wheel drive,heated seats, VEH-6955  , CUS-8880  
Ford,Expedition,2010,1FTWX3B52AE046124,Indigo,60808.78,27094,new,automatic,gasoline,SUV,2,front-wheel drive,navigation system, VEH-0160  , CUS-3344  
Cadillac,XLR,2006,1J4NF1FB2BD724264,Goldenrod,96572.17,179054,certified pre-owned,automatic,gasoline,coupe,5.6,front-wheel drive,navigation system, VEH-1917  , CUS-3968  
Mitsubishi,Galant,1993,4T1BK1EB1FU340659,Fuscia,50195.65,177750,used,manual,electric,SUV,3.6,front-wheel drive,heated seats, VEH-4010  , CUS-4037  
Mazda,323,1992,JTJBM7FX2F5637474,Aquamarine,83247.84,83553,certified pre-owned,manual,gasoline,coupe,5.6,all-wheel drive,navigation system, VEH-5168  , CUS-6072  
MINI,Clubman,2011,JN8AE2KP6F9553210,Maroon,52428.26,63227,certified pre-owned,manual,gasoline,sedan,2.3,all-wheel drive,leather seats, VEH-7992  , CUS-7525  
Volvo,C70,2006,5J6TF2H56EL413841,Teal,54129.52,62797,new,manual,electric,coupe,3.5,front-wheel drive,navigation system, VEH-3322  , CUS-9980  
Chevrolet,Tracker,2004,WA1CGCFE8BD149114,Teal,64674.07,127984,used,automatic,gasoline,truck,1.7,all-wheel drive,sunroof, VEH-8053  , CUS-1715  
